,xni,str,step,dy_m,dy_std
0,0.05,50,80.0,103.99794352911064,27.511894900692845
1,0.05,50,100.0,114.74387837396921,43.64669355850785
2,0.05,50,120.0,125.7698025550931,52.73835237129215
3,0.05,50,140.0,130.47152599844574,57.49523333069775
4,0.05,50,160.0,131.3294445990924,53.01170282580214
5,0.05,50,180.0,137.08214813313484,44.572988614038266
6,0.05,50,200.0,144.05264139258085,37.32143267612179
7,0.05,50,220.0,152.3571718104456,24.51252234350082
8,0.05,50,240.0,164.23238638247955,8.144639571774784
9,0.05,50,260.0,171.51697195938902,3.572543070836736
10,0.05,50,280.0,176.56943569155789,7.374600909793479
11,0.05,50,300.0,179.9597124885251,3.6959913171038625
12,0.05,50,320.0,181.75999716031458,2.046817090286633
13,0.05,50,340.0,181.9326911779953,1.3595181499145688
14,0.05,50,360.0,183.9459793891553,1.7176103795759539
15,0.05,50,380.0,185.22484852240615,3.4337322984685645
16,0.05,50,400.0,185.33453714330113,3.686354694467069
17,0.05,50,420.0,185.40704053084366,6.283750914038147
18,0.05,50,440.0,186.89887029307246,7.423866712179929
19,0.05,50,460.0,187.48939163651136,8.06234861333145
20,0.05,50,480.0,187.43292454958984,7.820351385597893
21,0.05,50,500.0,190.4032600896171,7.87970855157914
22,0.05,50,520.0,188.60928633165372,7.30149580213162
23,0.05,50,540.0,194.54724717130077,
24,0.05,50,560.0,198.3212035437272,
25,0.05,50,580.0,200.1832909931253,
26,0.05,50,600.0,201.2094688884451,
27,0.05,50,620.0,203.22535174006904,
28,0.05,50,640.0,203.79987410017355,
29,0.05,75,80.0,212.94484457537382,11.297897425395083
30,0.05,75,100.0,230.17733579149106,19.131846765086188
31,0.05,75,120.0,242.66921743297726,28.259865106013375
32,0.05,75,140.0,255.4072919964821,35.85079919438411
33,0.05,75,160.0,271.8194662924456,48.08479139444199
34,0.05,75,180.0,286.03766300830983,59.33128745967727
35,0.05,75,200.0,297.44624993248704,65.91823986512559
36,0.05,75,220.0,315.9637058136536,75.38595061593574
37,0.05,75,240.0,339.2152802092375,81.70650217927098
38,0.05,75,260.0,351.3586385106151,87.36514604687804
39,0.05,75,280.0,364.960622345545,93.38649421602497
40,0.05,75,300.0,381.35170164181244,104.61502667245239
41,0.05,75,320.0,398.55913616241855,117.90484263500221
42,0.05,75,340.0,411.9485957079467,125.8709847948776
43,0.05,75,360.0,426.8889089621394,132.87168299283329
44,0.05,75,380.0,439.8658960508458,139.9266651894879
45,0.05,75,400.0,456.9030582067009,149.97623935555941
46,0.05,75,420.0,473.13653051901,153.5490077774115
47,0.05,75,440.0,496.93615771047735,157.4223690308322
48,0.05,75,460.0,514.2803987148577,161.63017433528304
49,0.05,75,480.0,530.7762485661623,162.2765496170788
50,0.05,75,500.0,545.1339081861829,162.63015556269036
51,0.05,75,520.0,563.532850580678,165.97784432791755
52,0.05,75,540.0,578.7043802258078,171.00419649665338
53,0.05,100,64.0,165.8911745358912,
54,0.05,100,68.0,174.75106073139233,
55,0.05,100,72.0,182.613554676261,
56,0.05,100,76.0,191.89242399759027,
57,0.05,100,80.0,230.88415642689554,42.25252663092987
58,0.05,100,84.0,206.83785261486193,
59,0.05,100,88.0,212.71394409421217,
60,0.05,100,92.0,220.69729094712474,
61,0.05,100,96.0,231.2763498501261,
62,0.05,100,100.0,262.5814271695625,33.50554602226806
63,0.05,100,104.0,243.514688419902,
64,0.05,100,108.0,249.3684484111975,
65,0.05,100,112.0,253.19545399311684,
66,0.05,100,116.0,255.62940176602035,
67,0.05,100,120.0,287.4747932645078,44.53043314687662
68,0.05,100,124.0,259.47221543435654,
69,0.05,100,128.0,266.3840612587008,
70,0.05,100,132.0,269.22250475122536,
71,0.05,100,136.0,271.1502065483497,
72,0.05,100,140.0,320.9249940510922,65.14132937890088
73,0.05,100,144.0,278.11814330806016,
74,0.05,100,148.0,281.6889433392978,
75,0.05,100,152.0,285.7827377684048,
76,0.05,100,156.0,292.7167465396227,
77,0.05,100,160.0,351.9370539110282,76.7625795592398
78,0.05,100,164.0,304.7033064326546,
79,0.05,100,168.0,312.2608914620265,
80,0.05,100,172.0,320.6190808821704,
81,0.05,100,176.0,329.0091977584952,
82,0.05,100,180.0,382.290333518337,65.40249356676244
83,0.05,100,184.0,342.23611821827456,
84,0.05,100,188.0,348.5228895417223,
85,0.05,100,192.0,355.41034329719366,
86,0.05,100,196.0,362.6258933069937,
87,0.05,100,200.0,407.2902993323704,50.783133543802975
88,0.05,100,204.0,377.4039509291149,
89,0.05,100,208.0,385.55250062750986,
90,0.05,100,212.0,395.3921970492876,
91,0.05,100,216.0,405.6579268621088,
92,0.05,100,220.0,437.24575468265704,28.75264367352879
93,0.05,100,224.0,424.9294765451931,
94,0.05,100,228.0,431.43765715232934,
95,0.05,100,232.0,439.73074746967296,
96,0.05,100,236.0,445.6818251171219,
97,0.05,100,240.0,469.7624670968642,27.994306337268164
98,0.05,100,260.0,494.3025880729369,39.974871563589716
99,0.05,100,280.0,530.1394578473395,47.709640003886605
100,0.05,100,300.0,559.9007030602763,57.27252575498022
101,0.05,100,320.0,601.2999285650952,92.24483573123531
102,0.05,100,340.0,624.2379660626908,109.48210216822174
103,0.05,100,360.0,656.6872531945191,130.50457620296865
104,0.05,100,380.0,679.2101624102633,139.23836952160258
105,0.05,100,400.0,696.2307987604228,150.46620612329355
106,0.05,100,404.0,590.7052209549117,
107,0.05,100,408.0,590.8108220102846,
108,0.05,100,412.0,593.131933061228,
109,0.05,100,416.0,598.2062795595234,
110,0.05,100,420.0,712.5194213897305,157.76696152636802
111,0.05,100,424.0,603.6811356036704,
112,0.05,100,428.0,608.877131361539,
113,0.05,100,432.0,611.6302843612352,
114,0.05,100,436.0,611.395060058161,
115,0.05,100,440.0,728.175451895393,165.46029002283092
116,0.05,100,444.0,613.5683834780236,
117,0.05,100,448.0,617.0506156388832,
118,0.05,100,452.0,619.6408665626418,
119,0.05,100,456.0,620.9265566602768,
120,0.05,100,460.0,745.4810983388666,172.74308521150374
121,0.05,100,464.0,630.6853877385508,
122,0.05,100,468.0,635.7792731663488,
123,0.05,100,472.0,634.738279368719,
124,0.05,100,476.0,635.082292400815,
125,0.05,100,480.0,770.0533675512447,186.13025772278823
126,0.05,100,484.0,642.4262363480814,
127,0.05,100,488.0,642.5833054616573,
128,0.05,100,492.0,644.1481997710949,
129,0.05,100,496.0,648.6644093375623,
130,0.05,100,500.0,796.429007944469,202.0462014910941
131,0.05,100,504.0,657.6757947455407,
132,0.05,100,508.0,663.3310046813086,
133,0.05,100,512.0,672.1314909602196,
134,0.05,100,516.0,680.2922865453187,
135,0.05,100,520.0,834.2660248840748,204.76607117230736
136,0.05,100,524.0,698.61433866853,
137,0.05,100,528.0,706.5752181403316,
138,0.05,100,532.0,713.056846751913,
139,0.05,100,536.0,717.3991436308762,
140,0.05,100,540.0,872.3539670036655,213.4583941228326
141,0.05,120,80.0,362.11851783808964,12.20170545414983
142,0.05,120,100.0,458.92867334341685,16.96686672059457
143,0.05,120,120.0,535.7327657733616,14.656605898194927
144,0.05,120,140.0,591.773235255952,19.627310575138623
145,0.05,120,160.0,654.5187685673908,33.164892692218565
146,0.05,120,180.0,732.527837353873,52.610882822804754
147,0.05,120,200.0,811.4203089258122,55.84168627144449
148,0.05,120,220.0,877.7015230115416,52.61523410443315
149,0.05,120,240.0,925.1441895992392,48.28194412334105
150,0.05,120,260.0,992.5919900036139,63.774072776766964
151,0.05,120,280.0,1050.3333515610245,63.583304458042974
152,0.05,120,300.0,1111.7943742848,45.950284537701954
153,0.05,120,320.0,1164.9934997798227,35.11199260293341
154,0.05,120,340.0,1212.1872345551963,45.8519381025116
155,0.05,120,360.0,1269.9867567741683,59.52112732085558
156,0.05,120,380.0,1338.0918407740335,58.1169006834
157,0.05,120,400.0,1414.0240587695346,43.87394389209034
158,0.05,120,420.0,1483.9412534342098,33.536571581376656
159,0.05,120,440.0,1535.7343392114199,45.132642450806536
160,0.05,120,460.0,1591.5845928346673,51.21109775310697
161,0.05,120,480.0,1662.2757794247575,59.14123215184471
162,0.05,120,500.0,1730.343424379591,56.826754008888734
163,0.05,120,520.0,1792.0645431272114,56.010611355073046
164,0.05,120,540.0,1858.1625283176697,69.6487595493628
165,0.05,150,80.0,448.51884309581175,79.46839442301504
166,0.05,150,100.0,541.8939841821237,86.75403007578689
167,0.05,150,120.0,636.3094337769047,114.67284115903212
168,0.05,150,140.0,736.0958596506679,141.68103558345922
169,0.05,150,160.0,821.0708037104273,145.93843585218988
170,0.05,150,180.0,902.812143632168,140.81664172447077
171,0.05,150,200.0,998.5314985594432,141.82093647399586
172,0.05,150,220.0,1099.3672915479492,152.18507946708647
173,0.05,150,240.0,1199.5639336212487,163.39054735830013
174,0.05,150,260.0,1281.37428985677,185.47740994037096
175,0.05,150,280.0,1361.0519784103506,199.3254790821178
176,0.05,150,300.0,1455.621025998038,210.999244839248
177,0.05,150,320.0,1546.7755157480885,220.01373110388715
178,0.05,150,340.0,1646.0277613536894,226.98014004167607
179,0.05,150,360.0,1744.5490249625436,250.09178465358193
180,0.05,150,380.0,1828.153028108917,267.9137677811541
181,0.05,150,400.0,1911.880676429264,298.10712774120447
182,0.05,150,420.0,2003.356076775068,335.70868231005227
